Duration (sec)	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Charge count	Discharge count	Thermal Chamber temperature	Thermal Chamber status	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Analog input warning 1	Analog input warning 2	Analog input warning 3	Analog input warning 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	SMB-mV	SMB-mA	SMB-K	SMB-alarm	
109	8	3	3	0	1	2	2	12610	2477	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
110	8	3	3	0	1	2	2	12610	2476	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
111	8	3	3	0	1	2	2	12610	2476	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
112	8	3	3	0	1	2	2	12610	2477	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
113	8	3	3	0	1	2	2	12610	2475	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
114	8	3	3	0	1	2	2	12610	2475	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
115	8	3	3	0	1	2	2	12610	2476	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
116	8	3	3	0	1	2	2	12611	2474	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
117	8	3	3	0	1	2	2	12610	2473	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
118	8	3	3	0	1	2	2	12610	2473	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
119	8	3	3	0	1	2	2	12610	2472	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
120	8	3	3	0	1	2	2	12610	2472	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
121	8	3	3	0	1	2	2	12611	2471	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
122	8	3	3	0	1	2	2	12610	2470	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
123	8	3	3	0	1	2	2	12610	2470	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
124	8	3	3	0	1	2	2	12610	2469	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
125	8	3	3	0	1	2	2	12610	2468	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
126	8	3	3	0	1	2	2	12610	2469	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
127	8	3	3	0	1	2	2	12610	2467	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
128	8	3	3	0	1	2	2	12611	2466	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
129	8	3	3	0	1	2	2	12610	2466	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
130	8	3	3	0	1	2	2	12610	2465	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
